ticker,date,open,high,low,close,volume,adjustedClose
^BVSP,07/10/2021 10:00,110563,111522,110563,110585,10646000,110585
^BVSP,08/10/2021 10:00,110586,114172,110586,112833,12871400,112833
^BVSP,11/10/2021 10:00,112834,113982,112052,112180,10283700,112180
^BVSP,13/10/2021 10:00,112180,114159,111807,113456,11732700,113456
^BVSP,14/10/2021 10:00,113457,113881,112708,113185,8956200,113185
^BVSP,15/10/2021 10:00,113189,114776,113049,114648,11174900,114648
^BVSP,18/10/2021 10:00,114647,114927,112841,114428,11201300,114428
^BVSP,19/10/2021 10:00,114422,114422,109947,110673,14129200,110673
^BVSP,20/10/2021 10:00,110677,112023,110176,110786,11735800,110786
^BVSP,21/10/2021 10:00,110767,110767,105714,107735,16507700,107735
^BVSP,22/10/2021 10:00,107714,107749,102854,106296,21165700,106296
^BVSP,25/10/2021 10:00,106298,109372,106296,108715,11512100,108715
^BVSP,26/10/2021 10:00,108713,108713,106321,106420,10762200,106420
^BVSP,27/10/2021 10:00,106433,108224,106045,106363,10831300,106363
^BVSP,28/10/2021 10:00,106369,107210,105282,105705,11502900,105705
^BVSP,29/10/2021 10:00,105707,105954,103430,103501,12595800,103501
^BVSP,01/11/2021 10:00,103514,106136,103514,105551,10734800,105551
^BVSP,03/11/2021 10:00,105547,106754,104205,105617,14696900,105617
^BVSP,04/11/2021 10:00,105617,105627,102835,103412,12084000,103412
^BVSP,05/11/2021 10:00,103412,105555,103412,104824,12595000,104824
^BVSP,08/11/2021 10:00,104824,105679,104182,104781,9358000,104781
^BVSP,09/11/2021 10:00,104783,106674,104783,105535,11021200,105535
^BVSP,10/11/2021 10:00,105535,107407,105140,105968,12277400,105968
^BVSP,11/11/2021 10:00,105988,108669,105988,107725,12661400,107725
^BVSP,12/11/2021 19:05,107576,107915,105842,106312,13248100,106312
^BVSP,16/11/2021 10:00,106336,106971,104113,104508,11579400,104508
^BVSP,17/11/2021 10:00,104405,105535,102551,102945,12832200,102945
^BVSP,18/11/2021 10:00,102948,103757,102014,102524,10905700,102524
^BVSP,19/11/2021 19:05,102426,103975,102143,103035,11101500,103035
^BVSP,22/11/2021 19:05,103036,104613,102122,102122,10410000,102122
